insight_id,episode_id,episode_text,intrinsic_reward,ged_value,ig_value,connected_episodes_count,cross_domain_connections,detection_timestamp,language_description,abstraction_level,diversity_level,intensity_level,semantic_features,extracted_keywords,vector_mean,vector_std,vector_max,vector_min
EXP1_INS_0051,51,"Recent research in Edge AI solves long-standing challenges in financial prediction, showing promising results with practical implications for real-world deployment.",0.20517086285352706,0.35934172570705414,0.051000000000000004,10,10,2025-06-19T02:30:03.630194,"Episode_51: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, solves, long-standing, challenges)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, solves, long-standing, challenges",0.00020049272279720753,0.05103064328432083,0.17799192667007446,-0.15604178607463837
EXP1_INS_0052,52,"Recent research in Causal Inference creates new paradigm for educational technology, showing promising results with practical implications for real-world deployment.",0.23409749513864517,0.41619499027729034,0.052000000000000005,10,10,2025-06-19T02:30:03.674954,"Episode_52: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, causal, inference, creates)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, causal, inference, creates",0.0014855883782729506,0.0510094091296196,0.1320764571428299,-0.14791403710842133
EXP1_INS_0053,53,"Recent research in Continual Learning bridges the gap between theory and practice in smart cities, showing promising results with practical implications for real-world deployment.",0.22645658472180366,0.39991316944360733,0.053,10,9,2025-06-19T02:30:03.718699,"Episode_53: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, continual, learning, bridges)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, continual, learning, bridges",0.0007646325975656509,0.051025304943323135,0.15557408332824707,-0.13845351338386536
EXP1_INS_0054,54,"Recent research in Self-Supervised Learning unveils hidden patterns within industrial automation, showing promising results with practical implications for real-world deployment.",0.21574821066856384,0.3774964213371277,0.054,10,10,2025-06-19T02:30:03.762607,"Episode_54: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, self-supervised, learning, unveils)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, self-supervised, learning, unveils",0.0010905037634074688,0.05101938173174858,0.14145991206169128,-0.13976885378360748
EXP1_INS_0055,55,"Recent research in Large Language Models revolutionizes understanding of healthcare AI, showing promising results with practical implications for real-world deployment.",0.22394387811422348,0.39288775622844696,0.055,10,9,2025-06-19T02:30:03.808419,"Episode_55: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, large, language, models)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, large, language, models",-0.000908384274225682,0.051022954285144806,0.1665095090866089,-0.17338193953037262
EXP1_INS_0056,56,"Recent research in Computer Vision provides robust solution for agricultural technology, showing promising results with practical implications for real-world deployment.",0.24364621478319168,0.43129242956638336,0.056,10,10,2025-06-19T02:30:03.851202,"Episode_56: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, computer, vision, provides)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, computer, vision, provides",0.0003021025622729212,0.05103014409542084,0.15092748403549194,-0.17622160911560059
EXP1_INS_0057,57,"Recent research in Natural Language Processing achieves breakthrough performance on space exploration, showing promising results with practical implications for real-world deployment.",0.22797686046361923,0.39895372092723846,0.057,10,9,2025-06-19T02:30:03.895055,"Episode_57: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, natural, language, processing)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, natural, language, processing",0.00040313173667527735,0.05102944001555443,0.17321951687335968,-0.1449151337146759
EXP1_INS_0058,58,"Recent research in Reinforcement Learning introduces novel architecture for biomedical research, showing promising results with practical implications for real-world deployment.",0.2175867826640606,0.3771735653281212,0.058,10,10,2025-06-19T02:30:03.938900,"Episode_58: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, reinforcement, learning, introduces)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, reinforcement, learning, introduces",0.0008373127784579992,0.051024168729782104,0.1403411626815796,-0.13600483536720276
EXP1_INS_0059,59,"Recent research in Graph Neural Networks demonstrates significant improvements in environmental monitoring, showing promising results with practical implications for real-world deployment.",0.2214693946838379,0.3839387893676758,0.059000000000000004,10,10,2025-06-19T02:30:03.982126,"Episode_59: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, graph, neural, networks)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, graph, neural, networks",0.0006431172951124609,0.05102698132395744,0.15391865372657776,-0.14639273285865784
EXP1_INS_0060,60,"Recent research in Federated Learning reveals new insights about social network analysis, showing promising results with practical implications for real-world deployment.",0.23639684051275253,0.41279368102550507,0.06,10,10,2025-06-19T02:30:04.026258,"Episode_60: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, federated, learning, reveals)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, federated, learning, reveals",0.001376199652440846,0.05101247504353523,0.18502891063690186,-0.15058408677577972
EXP1_INS_0061,61,"Recent research in Explainable AI establishes new benchmarks for genome analysis, showing promising results with practical implications for real-world deployment.",0.22139769199490547,0.38179538398981094,0.061,10,9,2025-06-19T02:30:04.070462,"Episode_61: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, explainable, establishes, benchmarks)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, explainable, establishes, benchmarks",0.0005931699997745454,0.05102758854627609,0.15883326530456543,-0.15464873611927032
EXP1_INS_0062,62,"Recent research in Multimodal Learning proposes innovative approach to material science, showing promising results with practical implications for real-world deployment.",0.2268150789141655,0.391630157828331,0.062,10,9,2025-06-19T02:30:04.115142,"Episode_62: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, multimodal, learning, proposes)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, multimodal, learning, proposes",0.0005920774419791996,0.05102759972214699,0.14262065291404724,-0.17342087626457214
EXP1_INS_0063,63,"Recent research in Few-shot Learning discovers unexpected connections in energy optimization, showing promising results with practical implications for real-world deployment.",0.20344143682718277,0.34388287365436554,0.063,10,10,2025-06-19T02:30:04.159602,"Episode_63: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, few-shot, learning, discovers)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, few-shot, learning, discovers",0.000956384465098381,0.05102207139134407,0.1934298574924469,-0.17308726906776428
EXP1_INS_0064,64,"Recent research in Transfer Learning enables practical applications of medical diagnosis, showing promising results with practical implications for real-world deployment.",0.21325136196613312,0.36250272393226624,0.064,10,10,2025-06-19T02:30:04.202525,"Episode_64: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, transfer, learning, enables)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, transfer, learning, enables",-0.00029982373234815896,0.05103016272187233,0.13988535106182098,-0.15378952026367188
EXP1_INS_0065,65,"Recent research in Meta-Learning solves long-standing challenges in autonomous systems, showing promising results with practical implications for real-world deployment.",0.19146981954574585,0.3179396390914917,0.065,10,10,2025-06-19T02:30:04.246259,"Episode_65: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, meta-learning, solves, long-standing)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, meta-learning, solves, long-standing",0.0006721828249283135,0.051026612520217896,0.13230617344379425,-0.15647079050540924
EXP1_INS_0066,66,"Recent research in Adversarial Learning creates new paradigm for natural language understanding, showing promising results with practical implications for real-world deployment.",0.20633364486694336,0.3466672897338867,0.066,10,10,2025-06-19T02:30:04.292203,"Episode_66: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, adversarial, learning, creates)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, adversarial, learning, creates",0.0015894299140200019,0.05100627988576889,0.1318076103925705,-0.17558005452156067
EXP1_INS_0067,67,"Recent research in Quantum Computing bridges the gap between theory and practice in computer vision, showing promising results with practical implications for real-world deployment.",0.2210106878578663,0.3750213757157326,0.067,10,10,2025-06-19T02:30:04.337090,"Episode_67: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, quantum, computing, bridges)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, quantum, computing, bridges",0.00012900687579531223,0.051030877977609634,0.16546764969825745,-0.16201290488243103
EXP1_INS_0068,68,"Recent research in Neuromorphic Computing unveils hidden patterns within robotics, showing promising results with practical implications for real-world deployment.",0.22105661594867707,0.3741132318973541,0.068,10,10,2025-06-19T02:30:04.381738,"Episode_68: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, neuromorphic, computing, unveils)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, neuromorphic, computing, unveils",0.00020398369815666229,0.051030632108449936,0.16098569333553314,-0.1446082442998886
EXP1_INS_0069,69,"Recent research in Edge AI revolutionizes understanding of cybersecurity, showing promising results with practical implications for real-world deployment.",0.21414007705450058,0.35928015410900116,0.069,10,10,2025-06-19T02:30:04.426433,"Episode_69: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, revolutionizes, understanding, cybersecurity,)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, revolutionizes, understanding, cybersecurity,",0.00033162589534185827,0.05102996155619621,0.16226984560489655,-0.13584314286708832
EXP1_INS_0070,70,"Recent research in Causal Inference provides robust solution for climate modeling, showing promising results with practical implications for real-world deployment.",0.2543259242922068,0.43865184858441353,0.07,10,10,2025-06-19T02:30:04.469819,"Episode_70: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, causal, inference, provides)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, causal, inference, provides",0.0012796268565580249,0.051014989614486694,0.14785225689411163,-0.12615978717803955
EXP1_INS_0071,71,"Recent research in Continual Learning achieves breakthrough performance on drug discovery, showing promising results with practical implications for real-world deployment.",0.23837617295980454,0.40575234591960907,0.07100000000000001,10,9,2025-06-19T02:30:04.513759,"Episode_71: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, continual, learning, achieves)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, continual, learning, achieves",-0.0001438806502847001,0.05103083327412605,0.15720458328723907,-0.13380809128284454
EXP1_INS_0072,72,"Recent research in Self-Supervised Learning introduces novel architecture for financial prediction, showing promising results with practical implications for real-world deployment.",0.23704333758354187,0.40208667516708374,0.07200000000000001,10,9,2025-06-19T02:30:04.558900,"Episode_72: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, self-supervised, learning, introduces)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, self-supervised, learning, introduces",0.0008856172789819539,0.05102335661649704,0.14307798445224762,-0.15153607726097107
EXP1_INS_0073,73,"Recent research in Large Language Models demonstrates significant improvements in educational technology, showing promising results with practical implications for real-world deployment.",0.24515754410624505,0.4173150882124901,0.073,10,10,2025-06-19T02:30:04.601710,"Episode_73: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, large, language, models)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, large, language, models",0.00031916037551127374,0.05103003978729248,0.12682925164699554,-0.14211171865463257
EXP1_INS_0074,74,"Recent research in Computer Vision reveals new insights about smart cities, showing promising results with practical implications for real-world deployment.",0.24749771457910538,0.42099542915821075,0.074,10,10,2025-06-19T02:30:04.645285,"Episode_74: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, computer, vision, reveals)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, computer, vision, reveals",0.0006446664338000119,0.05102696642279625,0.14244814217090607,-0.16198833286762238
EXP1_INS_0075,75,"Recent research in Natural Language Processing establishes new benchmarks for industrial automation, showing promising results with practical implications for real-world deployment.",0.23883868604898453,0.40267737209796906,0.075,10,10,2025-06-19T02:30:04.689027,"Episode_75: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, natural, language, processing)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, natural, language, processing",0.0009528712835162878,0.05102214217185974,0.14269624650478363,-0.16503936052322388
EXP1_INS_0076,76,"Recent research in Reinforcement Learning proposes innovative approach to healthcare AI, showing promising results with practical implications for real-world deployment.",0.22627277421951295,0.3765455484390259,0.076,10,8,2025-06-19T02:30:04.732355,"Episode_76: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, reinforcement, learning, proposes)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, reinforcement, learning, proposes",0.000418935640482232,0.05102932080626488,0.17931802570819855,-0.14778803288936615
EXP1_INS_0077,77,"Recent research in Graph Neural Networks discovers unexpected connections in agricultural technology, showing promising results with practical implications for real-world deployment.",0.23183844259381295,0.3866768851876259,0.077,10,10,2025-06-19T02:30:04.776244,"Episode_77: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, graph, neural, networks)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, graph, neural, networks",0.0007667411118745804,0.05102527514100075,0.14169926941394806,-0.15331311523914337
EXP1_INS_0078,78,"Recent research in Federated Learning enables practical applications of space exploration, showing promising results with practical implications for real-world deployment.",0.23355795362591744,0.38911590725183487,0.078,10,9,2025-06-19T02:30:04.819614,"Episode_78: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, federated, learning, enables)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, federated, learning, enables",0.0010898772161453962,0.051019396632909775,0.168081134557724,-0.12830553948879242
EXP1_INS_0079,79,"Recent research in Explainable AI solves long-standing challenges in biomedical research, showing promising results with practical implications for real-world deployment.",0.21309264194965363,0.34718528389930725,0.079,10,10,2025-06-19T02:30:04.863817,"Episode_79: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, explainable, solves, long-standing)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, explainable, solves, long-standing",-0.0003030383959412575,0.05103013664484024,0.1417178511619568,-0.1546308845281601
EXP1_INS_0080,80,"Recent research in Multimodal Learning creates new paradigm for environmental monitoring, showing promising results with practical implications for real-world deployment.",0.2357487240433693,0.3914974480867386,0.08,10,10,2025-06-19T02:30:04.909585,"Episode_80: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, multimodal, learning, creates)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, multimodal, learning, creates",0.000613039534073323,0.05102735385298729,0.15764889121055603,-0.12847864627838135
EXP1_INS_0081,81,"Recent research in Few-shot Learning bridges the gap between theory and practice in social network analysis, showing promising results with practical implications for real-world deployment.",0.22695044416189195,0.3729008883237839,0.081,10,10,2025-06-19T02:30:04.955526,"Episode_81: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, few-shot, learning, bridges)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, few-shot, learning, bridges",0.0005540790152736008,0.05102802440524101,0.11915530264377594,-0.14341309666633606
EXP1_INS_0082,82,"Recent research in Transfer Learning unveils hidden patterns within genome analysis, showing promising results with practical implications for real-world deployment.",0.2210186112523079,0.3600372225046158,0.082,10,9,2025-06-19T02:30:05.001060,"Episode_82: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, transfer, learning, unveils)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, transfer, learning, unveils",0.0007298118434846401,0.05102581903338432,0.1319637894630432,-0.16463099420070648
EXP1_INS_0083,83,"Recent research in Meta-Learning revolutionizes understanding of material science, showing promising results with practical implications for real-world deployment.",0.20371219301223756,0.3244243860244751,0.083,10,9,2025-06-19T02:30:05.046043,"Episode_83: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, meta-learning, revolutionizes, understanding)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, meta-learning, revolutionizes, understanding",0.00019381071615498513,0.05103067308664322,0.14822298288345337,-0.18414713442325592
EXP1_INS_0084,84,"Recent research in Adversarial Learning provides robust solution for energy optimization, showing promising results with practical implications for real-world deployment.",0.21433096063137055,0.3446619212627411,0.084,10,10,2025-06-19T02:30:05.090105,"Episode_84: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, adversarial, learning, provides)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, adversarial, learning, provides",0.0011391345178708434,0.05101832002401352,0.13392877578735352,-0.13757838308811188
EXP1_INS_0085,85,"Recent research in Quantum Computing achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.2679469096660614,0.4508938193321228,0.085,10,10,2025-06-19T02:30:05.133896,"Episode_85: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, quantum, computing, achieves)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, quantum, computing, achieves",-0.0005057697999291122,0.0510285310447216,0.14172658324241638,-0.1471204310655594
EXP1_INS_0086,86,"Recent research in Neuromorphic Computing introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.24093807342648507,0.3958761468529701,0.08600000000000001,10,10,2025-06-19T02:30:05.177178,"Episode_86: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, neuromorphic, computing, introduces)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, neuromorphic, computing, introduces",0.0004771730164065957,0.05102880299091339,0.15339279174804688,-0.15177814662456512
EXP1_INS_0087,87,"Recent research in Edge AI demonstrates significant improvements in natural language understanding, showing promising results with practical implications for real-world deployment.",0.23093298202753068,0.37486596405506134,0.08700000000000001,10,10,2025-06-19T02:30:05.220065,"Episode_87: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, demonstrates, significant, improvements)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, demonstrates, significant, improvements",0.0006868899799883366,0.05102641135454178,0.13749505579471588,-0.14964431524276733
EXP1_INS_0088,88,"Recent research in Causal Inference reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.23618529388308523,0.3843705877661705,0.088,10,10,2025-06-19T02:30:05.263092,"Episode_88: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, causal, inference, reveals)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, causal, inference, reveals",0.000997512717731297,0.05102128908038139,0.14048609137535095,-0.1406514197587967
EXP1_INS_0089,89,"Recent research in Continual Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.22555609714984892,0.3621121942996979,0.089,10,9,2025-06-19T02:30:05.307755,"Episode_89: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, continual, learning, establishes)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, continual, learning, establishes",0.0001893539447337389,0.051030684262514114,0.13324546813964844,-0.12184976041316986
EXP1_INS_0090,90,"Recent research in Self-Supervised Learning proposes innovative approach to cybersecurity, showing promising results with practical implications for real-world deployment.",0.2336937990784645,0.377387598156929,0.09,10,9,2025-06-19T02:30:05.351454,"Episode_90: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, self-supervised, learning, proposes)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, self-supervised, learning, proposes",0.0007336282287724316,0.051025763154029846,0.15991802513599396,-0.13030946254730225
EXP1_INS_0091,91,"Recent research in Large Language Models discovers unexpected connections in climate modeling, showing promising results with practical implications for real-world deployment.",0.2510300697684288,0.4110601395368576,0.091,10,10,2025-06-19T02:30:05.396652,"Episode_91: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, large, language, models)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, large, language, models",-4.6173732698662207e-05,0.05103101581335068,0.17069537937641144,-0.12999214231967926
EXP1_INS_0092,92,"Recent research in Computer Vision enables practical applications of drug discovery, showing promising results with practical implications for real-world deployment.",0.23918751618266104,0.3863750323653221,0.092,10,9,2025-06-19T02:30:05.439541,"Episode_92: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, computer, vision, enables)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, computer, vision, enables",-0.00012223725207149982,0.05103088915348053,0.1682732105255127,-0.1356404572725296
EXP1_INS_0093,93,"Recent research in Natural Language Processing solves long-standing challenges in financial prediction, showing promising results with practical implications for real-world deployment.",0.2529576223492622,0.4129152446985245,0.093,10,9,2025-06-19T02:30:05.483916,"Episode_93: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, natural, language, processing)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, natural, language, processing",0.0002614965196698904,0.051030367612838745,0.1582040637731552,-0.17109385132789612
EXP1_INS_0094,94,"Recent research in Reinforcement Learning creates new paradigm for educational technology, showing promising results with practical implications for real-world deployment.",0.22885912072658537,0.3637182414531708,0.094,10,10,2025-06-19T02:30:05.528280,"Episode_94: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, reinforcement, learning, creates)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, reinforcement, learning, creates",0.0016905753873288631,0.051003023982048035,0.1605297029018402,-0.14392642676830292
EXP1_INS_0095,95,"Recent research in Graph Neural Networks bridges the gap between theory and practice in smart cities, showing promising results with practical implications for real-world deployment.",0.253216747790575,0.41143349558115005,0.095,10,10,2025-06-19T02:30:05.572111,"Episode_95: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, graph, neural, networks)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, graph, neural, networks",0.001324103563092649,0.05101385712623596,0.147776797413826,-0.15042026340961456
EXP1_INS_0096,96,"Recent research in Federated Learning unveils hidden patterns within industrial automation, showing promising results with practical implications for real-world deployment.",0.23336902219057082,0.37073804438114166,0.096,10,10,2025-06-19T02:30:05.616859,"Episode_96: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, federated, learning, unveils)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, federated, learning, unveils",0.0010884954826906323,0.051019422709941864,0.15580807626247406,-0.14401280879974365
EXP1_INS_0097,97,"Recent research in Explainable AI revolutionizes understanding of healthcare AI, showing promising results with practical implications for real-world deployment.",0.2289404705762863,0.36088094115257263,0.097,10,9,2025-06-19T02:30:05.661280,"Episode_97: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, explainable, revolutionizes, understanding)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, explainable, revolutionizes, understanding",-0.0005488887545652688,0.05102808400988579,0.14825065433979034,-0.15389221906661987
EXP1_INS_0098,98,"Recent research in Multimodal Learning provides robust solution for agricultural technology, showing promising results with practical implications for real-world deployment.",0.22530935460329055,0.3526187092065811,0.098,10,9,2025-06-19T02:30:05.704062,"Episode_98: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, multimodal, learning, provides)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, multimodal, learning, provides",0.00033822376281023026,0.05102991312742233,0.13124121725559235,-0.1390547752380371
EXP1_INS_0099,99,"Recent research in Few-shot Learning achieves breakthrough performance on space exploration, showing promising results with practical implications for real-world deployment.",0.2215123291015625,0.344024658203125,0.099,10,10,2025-06-19T02:30:05.747854,"Episode_99: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, few-shot, learning, achieves)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, few-shot, learning, achieves",0.00033512417576275766,0.05102993920445442,0.17392538487911224,-0.15337154269218445
EXP1_INS_0100,100,"Recent research in Transfer Learning introduces novel architecture for biomedical research, showing promising results with practical implications for real-world deployment.",0.21604043543338775,0.3320808708667755,0.1,10,10,2025-06-19T02:30:05.792300,"Episode_100: 中間抽象度, 集約的, 弱特徴 (キーワード: recent, research, transfer, learning, introduces)",medium,low,low,"中間抽象度, 集約的, 弱特徴","recent, research, transfer, learning, introduces",0.00032184956944547594,0.05103001743555069,0.12253807485103607,-0.15620137751102448
