episode,question,delta_ged,delta_ig,cumulative_ged,cumulative_ig,graph_nodes,graph_edges,graph_density,reasoning_quality,spike_detected,processing_time,timestamp
1,How does machine learning work fundamentally?,0.10825780034065247,0.0,0.10825780034065247,0.0,1,1,1.0,0.0,False,0.05152106285095215,1750214749.574024
2,What are the key challenges in deep learning?,0.08505141735076904,0.0,0.1933092176914215,0.0,1,1,1.0,0.0,False,0.029778003692626953,1750214749.6039
3,How can neural networks be applied to healthcare?,0.07190941572189331,0.0,0.2652186334133148,0.0,1,1,1.0,0.0,False,0.031215906143188477,1750214749.635178
4,What mathematical principles govern artificial intelligence?,0.03245104551315307,0.0,0.2976696789264679,0.0,1,1,1.0,0.0,False,0.028373003005981445,1750214749.663616
5,How does computer vision relate to human cognition?,0.08120466470718384,0.0,0.37887434363365174,0.0,1,1,1.0,0.0,False,0.027244091033935547,1750214749.690947
6,What ethical concerns arise from NLP?,0.05127323269844055,0.0,0.4301475763320923,0.0,1,1,1.0,0.0,False,0.030448198318481445,1750214749.721465
7,How might robotics evolve in the future?,0.07466198801994324,0.0,0.5048095643520355,0.0,1,1,1.0,0.0,False,0.0280759334564209,1750214749.7496152
8,What computational resources does quantum computing require?,0.10783724784851074,0.0,0.6126468122005463,0.0,1,1,1.0,0.0,False,0.027608156204223633,1750214749.777317
9,How does blockchain compare to biological systems?,0.05825804471969604,0.0,0.6709048569202424,0.0,1,1,1.0,0.0,False,0.02791595458984375,1750214749.8053088
10,What breakthroughs have shaped data science recently?,0.06062445044517517,0.0,0.7315293073654175,0.0,1,1,1.0,0.0,False,0.029658794403076172,1750214749.835029
11,How does cybersecurity work fundamentally?,0.03848544359207153,0.0,0.7700147509574891,0.0,1,1,1.0,0.0,False,0.0259702205657959,1750214749.861061
12,What are the key challenges in cloud computing?,0.09240694642066956,0.0,0.8624216973781587,0.0,1,1,1.0,0.0,False,0.027607202529907227,1750214749.888725
13,How can machine learning be applied to healthcare?,0.04818005561828613,0.0,0.9106017529964447,0.0,1,1,1.0,0.0,False,0.02868509292602539,1750214749.917484
14,What mathematical principles govern deep learning?,0.06673219799995422,0.0,0.977333950996399,0.0,1,1,1.0,0.0,False,0.02946782112121582,1750214749.947017
15,How does neural networks relate to human cognition?,0.05537506341934204,0.0,1.032709014415741,0.0,1,1,1.0,0.0,False,0.03269624710083008,1750214749.97983
16,What ethical concerns arise from artificial intelligence?,0.08158339262008667,0.0,1.1142924070358275,0.0,1,1,1.0,0.0,False,0.026971101760864258,1750214750.00686
17,How might computer vision evolve in the future?,0.07250624299049377,0.0,1.1867986500263212,0.0,1,1,1.0,0.0,False,0.02844405174255371,1750214750.035394
18,What computational resources does NLP require?,0.13097587823867798,0.0,1.3177745282649993,0.0,1,1,1.0,0.0,False,0.02816605567932129,1750214750.063626
19,How does robotics compare to biological systems?,0.09305613040924073,0.0,1.41083065867424,0.0,1,1,1.0,0.0,False,0.029317140579223633,1750214750.093046
20,What breakthroughs have shaped quantum computing recently?,0.08862208127975464,0.0,1.4994527399539948,0.0,1,1,1.0,0.0,False,0.02866506576538086,1750214750.121791
21,How does blockchain work fundamentally?,0.07173002958297729,0.0,1.571182769536972,0.0,1,1,1.0,0.0,False,0.028650999069213867,1750214750.150501
22,What are the key challenges in data science?,0.0501134991645813,0.0,1.6212962687015533,0.0,1,1,1.0,0.0,False,0.0265350341796875,1750214750.177094
23,How can cybersecurity be applied to healthcare?,0.07721330523490906,0.0,1.6985095739364624,0.0,1,1,1.0,0.0,False,0.027334213256835938,1750214750.2044852
24,What mathematical principles govern cloud computing?,0.07686481475830077,0.0,1.7753743886947633,0.0,1,1,1.0,0.0,False,0.029188871383666992,1750214750.2337458
25,How does machine learning relate to human cognition?,0.11592929363250731,0.0,1.8913036823272706,0.0,1,1,1.0,0.0,False,0.02986311912536621,1750214750.263673
26,How do deep learning and computer vision interact to create emergent behaviors?,0.09248340725898742,0.0,1.9837870895862582,0.0,1,1,1.0,0.0,False,0.027831077575683594,1750214750.2916322
27,What happens when neural networks meets the limitations of NLP?,0.08302302360534668,0.0,2.066810113191605,0.0,1,1,1.0,0.0,False,0.027286767959594727,1750214750.3190248
28,Can artificial intelligence principles be applied to improve robotics?,0.04996029138565063,0.0,2.1167704045772555,0.0,1,1,1.0,0.0,False,0.03061509132385254,1750214750.3497012
29,How might computer vision revolutionize our understanding of quantum computing?,0.12864298224449158,0.0,2.245413386821747,0.0,1,1,1.0,0.0,False,0.029629945755004883,1750214750.379403
30,What would happen if we combined NLP with blockchain?,0.07761638760566711,0.0,2.323029774427414,0.0,1,1,1.0,0.0,False,0.03190207481384277,1750214750.411407
31,How do robotics and data science interact to create emergent behaviors?,0.06387253403663636,0.0,2.3869023084640504,0.0,1,1,1.0,0.0,False,0.03220510482788086,1750214750.443674
32,What happens when quantum computing meets the limitations of cybersecurity?,0.0829318642616272,0.0,2.4698341727256774,0.0,1,1,1.0,0.0,False,0.028750181198120117,1750214750.472491
33,Can blockchain principles be applied to improve cloud computing?,0.10142027735710143,0.0,2.5712544500827788,0.0,1,1,1.0,0.0,False,0.030606985092163086,1750214750.5032
34,How might data science revolutionize our understanding of machine learning?,0.09949082136154175,0.0,2.6707452714443205,0.0,1,1,1.0,0.0,False,0.03173089027404785,1750214750.535001
35,What would happen if we combined cybersecurity with deep learning?,0.03378946781158447,0.0,2.704534739255905,0.0,1,1,1.0,0.0,False,0.03123021125793457,1750214750.566298
36,How do cloud computing and neural networks interact to create emergent behaviors?,0.13097757697105408,0.0,2.8355123162269593,0.0,1,1,1.0,0.0,False,0.02980494499206543,1750214750.596171
37,What happens when machine learning meets the limitations of artificial intelligence?,0.09048725366592407,0.0,2.9259995698928836,0.0,1,1,1.0,0.0,False,0.026813030242919922,1750214750.623046
38,Can deep learning principles be applied to improve computer vision?,0.04747474193572998,0.0,2.9734743118286135,0.0,1,1,1.0,0.0,False,0.035262107849121094,1750214750.6584032
39,How might neural networks revolutionize our understanding of NLP?,0.06707310676574707,0.0,3.0405474185943606,0.0,1,1,1.0,0.0,False,0.02855086326599121,1750214750.687053
40,What would happen if we combined artificial intelligence with robotics?,0.07961515188217162,0.0,3.1201625704765323,0.0,1,1,1.0,0.0,False,0.0296630859375,1750214750.716792
41,How do computer vision and quantum computing interact to create emergent behaviors?,0.11001775860786438,0.0,3.230180329084397,0.0,1,1,1.0,0.0,False,0.027743816375732422,1750214750.744598
42,What happens when NLP meets the limitations of blockchain?,0.06840189099311829,0.0,3.298582220077515,0.0,1,1,1.0,0.0,False,0.02918100357055664,1750214750.773876
43,Can robotics principles be applied to improve data science?,0.032072889804840084,0.0,3.330655109882355,0.0,1,1,1.0,0.0,False,0.03022313117980957,1750214750.804172
44,How might quantum computing revolutionize our understanding of cybersecurity?,0.04096341133117676,0.0,3.3716185212135317,0.0,1,1,1.0,0.0,False,0.029705047607421875,1750214750.833947
45,What would happen if we combined blockchain with cloud computing?,0.04608067274093628,0.0,3.417699193954468,0.0,1,1,1.0,0.0,False,0.028187990188598633,1750214750.862196
46,How do data science and machine learning interact to create emergent behaviors?,0.04641396403312683,0.0,3.464113157987595,0.0,1,1,1.0,0.0,False,0.02916693687438965,1750214750.891435
47,What happens when cybersecurity meets the limitations of deep learning?,0.07735705375671387,0.0,3.5414702117443086,0.0,1,1,1.0,0.0,False,0.03502798080444336,1750214750.926538
48,Can cloud computing principles be applied to improve neural networks?,0.052322888374328615,0.0,3.593793100118637,0.0,1,1,1.0,0.0,False,0.027749061584472656,1750214750.954348
49,How might machine learning revolutionize our understanding of artificial intelligence?,0.0883107304573059,0.0,3.6821038305759433,0.0,1,1,1.0,0.0,False,0.029586076736450195,1750214750.984019
50,What would happen if we combined deep learning with computer vision?,0.0802800178527832,0.0,3.7623838484287266,0.0,1,1,1.0,0.0,False,0.026720046997070312,1750214751.0107992
